type,name,function,time(ns)
small,CLANG,null,0.995
small,CLANG,std::strtod,109.076
small,CLANG,std::from_chars,84.753
small,RYU,s2d,34.210
small,Q-TEE,CRT::StringToReal,118.921
medium,CLANG,null,1.245
medium,CLANG,std::strtod,81.134
medium,CLANG,std::from_chars,60.510
medium,RYU,s2d,20.160
medium,Q-TEE,CRT::StringToReal,40.411
large,CLANG,null,1.624
large,CLANG,std::strtod,960.553
large,CLANG,std::from_chars,710.181
large,RYU,s2d,35.229
large,Q-TEE,CRT::StringToReal,857.086
